Work Item ID,Parent ID,Work Type,Summary,Priority,Description,Labels,Story Points
US-8.2.1,FEAT-8.2,Sub-task,Create footer with links and information,Low,Copyright; Privacy; Terms; Contact links; email hello@djtech.com,footer;content;links,1
EPIC-9,,Epic,[ÉPICA 9] Background e Efeitos Visuais,Medium,Implementar Ethereal Glass background com gradientes e ruído,background;effects;css,0
FEAT-9.1,EPIC-9,Story,[FEATURE 9.1] Implementar Ethereal Glass Background,Medium,Criar background premium com gradientes radiais e noise,background;effects,6
US-9.1.1,FEAT-9.1,Sub-task,Create background with radial gradients and noise,Medium,Body #050505; ::before radial-gradients (purple/cyan); ::after SVG noise 0.03 opacity,background;css;effects,2
US-9.1.2,FEAT-9.1,Sub-task,Implement z-index hierarchy,Low,z-index: 1 (gradients); 2 (noise); 10 (content); 9999 (nav); 10001 (hamburger),background;css;architecture,1
EPIC-10,,Epic,[ÉPICA 10] Animações e Interatividade,High,Implementar scroll reveals e interações fluidas,animation;interaction;javascript,0
FEAT-10.1,EPIC-10,Story,[FEATURE 10.1] Implementar Scroll Reveal com IntersectionObserver,High,Criar animações de entrada ao scroll com IntersectionObserver,animation;javascript,8
US-10.1.1,FEAT-10.1,Sub-task,Create reveal class with entry animation,High,Reveal class with opacity 0; translateY 40px; blur 8px to opacity 1; translateY 0; blur 0,animation;css,2
US-10.1.2,FEAT-10.1,Sub-task,Implement IntersectionObserver in JavaScript,High,IntersectionObserver with threshold 0.15; rootMargin -100px bottom; observer.unobserve on trigger,animation;javascript,2
FEAT-10.2,EPIC-10,Story,[FEATURE 10.2] Implementar Hamburger Morph Animation,High,Criar transformação de hamburger em X ao click,animation;interaction;javascript,5
US-10.2.1,FEAT-10.2,Sub-task,Animate hamburger lines,High,Line1: rotate(45deg) translate(8px;8px); Line2: opacity 0; Line3: rotate(-45deg) translate(6px;-6px),animation;css;javascript,2
US-10.2.2,FEAT-10.2,Sub-task,Implement toggle with JavaScript,Medium,Selector .hamburger; event listener click; classList.toggle('active'),animation;javascript,1
EPIC-11,,Epic,[ÉPICA 11] Otimização de Performance e Acessibilidade,Medium,Implementar boas práticas de performance e acessibilidade,performance;accessibility;testing,0
FEAT-11.1,EPIC-11,Story,[FEATURE 11.1] Implementar Boas Práticas de Performance,Medium,Otimizar animations e assets para performance,performance;optimization,8
US-11.1.1,FEAT-11.1,Sub-task,Optimize animations with transform and opacity,High,Transform: translateX/Y/rotate/scale; opacity only; no width/height/top/left; will-change: transform,performance;css;optimization,2
US-11.1.2,FEAT-11.1,Sub-task,Manage backdrop-blur without performance impact,High,Backdrop-blur only on fixed/sticky (nav); none on scrollables; GPU acceleration verified,performance;css;optimization,2
US-11.1.3,FEAT-11.1,Sub-task,Implement lazy loading for fonts,Medium,Google Fonts with rel=preconnect; crossorigin; fallback system fonts,performance;fonts;optimization,1
FEAT-11.2,EPIC-11,Story,[FEATURE 11.2] Implementar Acessibilidade,Medium,Garantir acessibilidade WCAG 2.1 AA,accessibility;standards,8
US-11.2.1,FEAT-11.2,Sub-task,Add ARIA labels and roles,High,Hamburger aria-label; headings hierarchy; descriptive links; alt text; form labels,accessibility;html;standards,2
US-11.2.2,FEAT-11.2,Sub-task,Ensure color contrast,High,Text white on dark ≥4.5:1; gray ≥3:1; Lighthouse/WebAIM Contrast Checker,accessibility;design;testing,2
US-11.2.3,FEAT-11.2,Sub-task,Implement keyboard navigation,Medium,Logical tab order; buttons Enter/Space; links Enter; focus visible indicators,accessibility;interaction;javascript,2
US-11.2.4,FEAT-11.2,Sub-task,Implement mobile viewport safe,Low,Meta viewport viewport-fit=cover; 100dvh min-height; no height 100vh; notch safe,accessibility;mobile;html,1
EPIC-12,,Epic,[ÉPICA 12] Testes e Validação,Medium,Validar HTML/CSS e testar responsividade,testing;validation,0
FEAT-12.1,EPIC-12,Story,[FEATURE 12.1] Validar HTML e CSS,Medium,Passar em validação W3C,testing;validation,5
US-12.1.1,FEAT-12.1,Sub-task,Pass W3C HTML validation,Medium,Validate at validator.w3.org; no errors; correct DOCTYPE; tags opened/closed,testing;html;validation,1
US-12.1.2,FEAT-12.1,Sub-task,Validate CSS,Medium,Validate at jigsaw.w3.org/css-validator; no critical errors; prefixes verified,testing;css;validation,1
FEAT-12.2,EPIC-12,Story,[FEATURE 12.2] Testar Responsividade,High,Testar em breakpoints e dispositivos reais,testing;responsive;mobile,8
US-12.2.1,FEAT-12.2,Sub-task,Test at main breakpoints,High,320px/768px/1024px/1400px; hamburger/nav; layout stack/grid; no h-scroll,testing;responsive;mobile,2
US-12.2.2,FEAT-12.2,Sub-task,Test on real devices,High,iPhone SE/14 Pro; iPad; Desktop 1920x1080; landscape; foldable,testing;mobile;devices,2
FEAT-12.3,EPIC-12,Story,[FEATURE 12.3] Testar Performance,High,Validar Core Web Vitals e bundle size,testing;performance,8
US-12.3.1,FEAT-12.3,Sub-task,Validate Core Web Vitals,High,LCP <2.5s; FID <100ms; CLS <0.1; PageSpeed Insights; Lighthouse ≥90 Performance,testing;performance;metrics,3
US-12.3.2,FEAT-12.3,Sub-task,Optimize bundle size,High,HTML/CSS/JS minified; CSS <50KB; JS <20KB; no unused CSS/JS; lazy loading,testing;performance;optimization,2
EPIC-13,,Epic,[ÉPICA 13] Build e Deployment,High,Configurar pipeline de build e deploy em GitHub Pages,deployment;ci;cd;build,0
FEAT-13.1,EPIC-13,Story,[FEATURE 13.1] Configurar Pipeline de Build,High,Criar scripts de build production e development,build;ci,6
US-13.1.1,FEAT-13.1,Sub-task,Create production build script,High,npm run build creates dist/; minification; source maps; optimized assets; no temp files,build;production;npm,2
US-13.1.2,FEAT-13.1,Sub-task,Create development script,Medium,npm start starts dev server port 3000/8080; hot reload; source maps; logging,build;development;npm,1
FEAT-13.2,EPIC-13,Story,[FEATURE 13.2] Deploy em GitHub Pages,High,Automatizar deploy com GitHub Actions,deployment;github;ci,8
US-13.2.1,FEAT-13.2,Sub-task,Configure GitHub Pages,High,GitHub Actions workflow (.github/workflows/deploy.yml); trigger push main; build; deploy gh-pages,deployment;github;ci;actions,3
US-13.2.2,FEAT-13.2,Sub-task,Create deployment documentation,Medium,README.md setup/build/deploy instructions; env variables; troubleshooting,documentation;readme;deployment,2
EPIC-14,,Epic,[ÉPICA 14] Documentação e Manutenção,Low,Documentar código e criar guia de manutenção,documentation;maintenance,0
FEAT-14.1,EPIC-14,Story,[FEATURE 14.1] Documentação de Código,Low,Documentar HTML/CSS/JavaScript,documentation;code,5
US-14.1.1,FEAT-14.1,Sub-task,Document HTML with comments,Low,Comments in sections (hero; features; etc); complex structures; no obvious; consistent,documentation;html;comments,1
US-14.1.2,FEAT-14.1,Sub-task,Document CSS with comments,Low,Sections commented; complex techniques (Double-Bezel); variables; breakpoints,documentation;css;comments,1
US-14.1.3,FEAT-14.1,Sub-task,Document JavaScript with comments,Low,Functions documented; parameters; events; complex logic commented,documentation;javascript;comments,1
FEAT-14.2,EPIC-14,Story,[FEATURE 14.2] Manutenção e Atualizações,Low,Criar guia de manutenção,documentation;maintenance,3
US-14.2.1,FEAT-14.2,Sub-task,Create maintenance guide,Low,MAINTENANCE.md: add sections; modify colors/fonts; add animations; contacts,documentation;maintenance,1
US-14.2.2,FEAT-14.2,Sub-task,Keep dependencies updated,Low,npm audit no critical; dependencies updated; changelog; version in package.json,documentation;maintenance;dependencies,1
